Manufacturer,Model Name,MP,Channels
Hanwha,XNB-6003,2,1
Hanwha,XNB-8003,6,1
Hanwha,XNB-9003,8,1
Hanwha,XND-6080RV,2,1
Hanwha,XND-6083RV,2,1
Hanwha,XND-8080R,5,1
Hanwha,XND-8080RV,5,1
Hanwha,XND-8081RV,5,1
Hanwha,XND-8083RV,6,1
Hanwha,XND-8093RV,6,1
Hanwha,XND-9083RV,8,1
Hanwha,XNF-8010R,6,1
Hanwha,XNO-6080R,2,1
Hanwha,XNO-6083R,2,1
Hanwha,XNO-6120R,2,1
Hanwha,XNO-6123R,2,1
Hanwha,XNO-8083R,6,1
Hanwha,XNO-9083R,8,1
Hanwha,XNO-8082R,6,1
Hanwha,XNP-C9253R,8,1
Hanwha,XNV-6011,2,1
Hanwha,XNV-6012,2,1
Hanwha,XNV-6080R,2,1
Hanwha,XNV-6083R,2,1
Hanwha,XNV-6083RZ,2,1
Hanwha,XNV-6083Z,2,1
Hanwha,XNV-6123R,2,1
Hanwha,XNV-8080R,5,1
Hanwha,XNV-8081R,5,1
Hanwha,XNV-8083R,5,1
Hanwha,XNV-8083RZ,5,1
Hanwha,XNV-8083Z,5,1
Hanwha,XNV-8093R,5,1
Hanwha,XNV-9082R,8,1
Hanwha,XNV-9083R,8,1
Hanwha,XNV-9083RZ,8,1
Hanwha,XNZ-6320A,2,1
Hanwha,XND-L6080V,2,1
Hanwha,PNM-9000VQ,2,4
Hikvision,DS-2CD1143G0-I,4,1
Hikvision,DS-2CD6D54FWD-Z,5,1
Hikvision,DS-2CD2343G2-I,4,1
Hikvision,DS-2CD2135FWD-I,3,1
Hikvision,DS-2CD2112FWD-IW,1.3,1
Hikvision,DS-2CD2023G0-I,2,1
Hikvision,DS-2CD2043G2-I,4,1
Hikvision,DS-2CD2083G2-IU,8,1
Hikvision,DS-2CD2112F-I,1.3,1
Hikvision,DS-2CD2143G0-I,4,1
Hikvision,DS-2CD2143G2-IU,4,1
Hikvision,DS-2CD2183G2-IS,8,1
Hikvision,DS-2CD2343G2-IU,4,1
Hikvision,DS-2CD2367G2P-LSU/SL,6,2
Hikvision,DS-2CD2387G2P-LSU/SL,8,2
Hikvision,DS-2CD2543G2-IS,4,1
Hikvision,DS-2CD2643G1-IZS,4,1
Hikvision,DS-2CD63C5G0E-IVS,12,1
Hikvision,DS-2CD7A26G0/P-IZHS8,2,1
Hikvision,DS-2CD2183G2-I,8,1
Hikvision,DS-2CD2112FWD-I,1.3,1
Hikvision,DS-2TD2628-3/QA,,
Hikvision,ECI-B12F2,2,1
Hikvision,ECI-T24F2,4,1
Hikvision,DS-2CD2343G2-IU,4,1
Hikvision,NC324-TD,4,1
Hikvision,NC344G2-TD/AU,4,1
Hikvision,PCI-T15F2S,5,1
Hikvision,DS-2DE5220IW-AE,2,1
Hikvision,DS-2CD2386G2-ISU/SL,8,1
Hikvision,IPC-T281H-MU,8,1
Honeywell,HC30W45R2,5,1
Honeywell,HBW4PER2K,4,1
Honeywell,HC30WF5R1,5,1
Honeywell,HC35W45R2,5,1
Honeywell,HC35WB5R3,5,1
Honeywell,HC60W35R2,5,1
Honeywell,HC60W45R2,5,1
Honeywell,H4W4GR1V,4,1
Honeywell,HBW4PER2,4,1
IPC,C1012D2-1,2,1
IPC,C1012D2-S-1,2,1
IPC,C6F0SoZ3N0PmL2,,
IPC,C7032-WR,2,1
Interlogix,TVC-M5225E-3M-N,5,1
Illustra,IFS03-D21-AT03,5,1
LTS,CMIP3382W-28MDA,8,1
LTS,CMIP7342WB-28MDA,4,1
Lorex,E842CAB,8,1
Lorex,E841CD,8,1
Lorex,E842CDB,8,1
Lorex,E894ABB,8,1
Marquis,YMA42P_IR_N_AF,4,1
Milesight,MS-C5375-PD,5,1
OpenEye,OE-C1012D2-1,2,1
OpenEye,OE-C1012D2-S,2,1
OpenEye,OE-C3012T4B-S,4,1
OpenEye,OE-C3012T8-S-1,8,1
OpenEye,OE-C7032-WR,2,1
OpenEye,OE-C97512,12,1
Panasonic,WV-S2131L,2,1
Panasonic,WV-S22500-V3L,5,1
Panasonic,WV-SFN480,9,1
Panasonic,A-87-V,8,1
Panasonic,WV-S4556L,5,1
Panasonic,DG-SW355,1.3,1
Panasonic,WV-S2270L,8,1
Panasonic,WV-S2272L,8,1
Panasonic,WV-S2531L,2,1
Panasonic,WV-S2531LT,2,1
Panasonic,WV-S2570L,8,1
Panasonic,WV-S4550L,5,1
Panasonic,WV-S8530,2,4
Panasonic,WV-S2531LN,2,1
Panasonic,WV-S8573L,8,3
Panasonic,WV-S85402-V2L,4,2
Panasonic,WV-SW155,1.3,1
Panasonic,WV-S8544LUX,4,4
Panasonic,WV-S2536LTNA,2,1
